시나리오,단계,액터,액션,현재 문제점,해결 방안,데이터 구조,화면/기능,우선순위,비고
직접 불합격 후 재신청 시나리오,1. 본심사 평가,심사위원,"본심사 평가 완료, 결과: 불합격 (재심 없이 바로 불합격)",직접 불합격 처리 방법 불명확,"ExaminationHistory에 examRound=1, result='불합격' 저장. ThesisApplication 종료: status='failed', closedAt 설정. StudentThesisStage: needsReapplication=true, canProceed=false, currentStageOrder=4 유지","ExaminationHistory: { examRound: 1, result: '불합격' }, ThesisApplication: { status: 'failed', closedAt: '2025-12-20' }, StudentThesisStage: { needsReapplication: true, canProceed: false, reapplicationStage: 4 }",교수 화면: 평가 결과 입력 → 불합격 선택 → 제출,P1,Phase 2
직접 불합격 후 재신청 시나리오,2-11. 재신청 프로세스,전체,재심 불합격 시나리오의 2-11단계와 동일,동일,동일,동일,동일,P1,Phase 2
박사 본심사 1차/2차 시나리오,1. 본심사 1차 평가,심사위원,"본심사 1차 평가 완료, 결과: 조건부합격",박사 1차/2차가 별도 단계인지 불명확,"박사 본심사 1차(order=6), 2차(order=7)는 별도 단계. 1차에서 조건부합격 시 재심 아님, 그냥 2차로 진행. ExaminationHistory: examRound=1, result='조건부합격' 저장","ExaminationHistory: { stageOrder: 6, examRound: 1, result: '조건부합격' }, StudentThesisStage.currentStageOrder = 7 (2차로 이동)",교수 화면: 1차 평가 결과 입력 → 조건부합격 선택 → 제출 → 학생 자동으로 2차로 이동,P1,학교 규정 확인
박사 본심사 1차/2차 시나리오,2. 본심사 2차 평가,심사위원,"본심사 2차 평가 완료, 결과: 조건부합격",2차에서 조건부합격 시 처리 방법 불명확,"2차에서 조건부합격 시 재심 발생. ExaminationHistory: examRound=1, result='조건부합격', reexamInfo 저장. currentStageOrder=7 유지","ExaminationHistory: { stageOrder: 7, examRound: 1, result: '조건부합격', reexamInfo: {...} }, StudentThesisStage.currentStageOrder = 7 유지",교수 화면: 2차 평가 결과 입력 → 조건부합격 선택 → 재심 정보 설정 모달 → 제출,P1,학교 규정 확인
박사 본심사 1차/2차 시나리오,3-8. 재심 프로세스,전체,석사 본심사 재심 시나리오의 3-8단계와 동일,동일,동일,동일,동일,P1,Phase 2
워크플로우 무결성 이슈,핵심 문제점,시스템,재심 단계를 워크플로우에 동적으로 추가하면 템플릿 무결성 깨짐,기존 방식: StudentThesisStage.customStages에 재심 단계 추가 → 학생마다 다른 워크플로우 → 템플릿 의미 없음. order 재조정 복잡 → 버그 위험,"ExaminationHistory 테이블로 재심 관리. 워크플로우 템플릿은 절대 변경하지 않음. currentStageOrder는 템플릿 order와 항상 동일. 재심 시 currentStageOrder 변경 없음, examRound만 증가","WorkflowTemplate (ThesisStage): 모든 학생 공통, 변경 불가. ExaminationHistory: 학생별/단계별 심사 이력 기록, examRound로 차수 관리. StudentThesisStage.currentStageOrder: 템플릿 order와 동일, 재심 중에도 불변",전체 시스템: 워크플로우 기반 로직 수정 불필요. ExaminationHistory 조회 로직만 추가,P0,핵심 설계 변경
재심 차수 관리 이슈,핵심 문제점,시스템,재심이 여러 번 발생할 경우 관리 방법 불명확,기존 방식: 재심마다 새 단계 추가 → order 계속 증가 → 관리 불가,"같은 stageOrder 내에서 examRound로 관리. 1차 심사: examRound=1, 1차 재심: examRound=2, 2차 재심: examRound=3. getNextExamRound() 함수로 자동 계산","ExaminationHistory: studentId + stageOrder + examRound 복합키. getNextExamRound(studentId, stageOrder): 해당 학생/단계의 최대 examRound + 1 반환","전체 시스템: 재심 차수 자동 계산, N차 재심도 동일한 방식으로 처리 가능",P0,핵심 로직
재심 방식 선택 이슈,핵심 문제점,교수,재심 방식(대면/서면 × 전체심사위원/위원장만) 조합 복잡함,4가지 조합(대면×전체, 대면×위원장, 서면×전체, 서면×위원장)을 모두 UI에 표시하면 사용자 혼란,"초기 구현: 2가지 조합만 지원 (대면=전체, 서면=위원장). UI에서 method만 선택받고 evaluationType은 자동 설정. 데이터 구조는 4가지 조합 지원하도록 설계 → 향후 UI만 수정하면 확장 가능","ExaminationHistory.reexamInfo: method와 evaluationType 독립 필드로 분리. processEvaluationResult() 함수: 초기 구현 시 evaluationType 자동 설정 로직 포함 (method 기반). 향후 확장 시 자동 설정 로직 1줄 제거 + UI에 선택 필드 추가",교수 화면: 초기 구현 - 재심 방식 라디오 버튼 2개 (대면/서면) + 설명 문구. 향후 확장 - 재심 방식 + 평가자 선택 필드 추가,P0 (초기) / P3 (확장),단계적 구현
재심 평가 권한 이슈,핵심 문제점,교수,서면 재심 시 누가 평가할 수 있는지 불명확,평가 버튼을 모든 교수에게 표시할지 특정 교수에게만 표시할지 불명확,"canEvaluateReexam(professorId, examHistory) 함수로 권한 확인. evaluationType='full': 모든 심사위원 평가 가능, evaluationType='chair_only': 심사위원장만 평가 가능. 교수 화면에서 권한 확인 후 버튼 표시/숨김","ExaminationHistory.reexamInfo.evaluationType + committeeChair + committeeMembers 조합으로 권한 판단. canEvaluateReexam() 함수: examType='reexam' && evaluationType 확인 → 교수 ID가 권한 범위에 있는지 확인","교수 화면: 재심 평가 화면 진입 시 canEvaluateReexam() 호출 → true일 때만 평가 버튼 표시, false일 때 ""평가 권한이 없습니다"" 메시지 표시",P1,Phase 2
재신청 프로세스 범위 이슈,핵심 문제점,시스템,재신청 시 어디부터 다시 시작하는지 불명확,논문 재제출만? 심사위원 재구성? 전체 프로세스 재실행?,"전체 프로세스 재실행 (학교 메일 확인 결과). 재신청 = 논문 신청부터 다시 시작. ThesisApplication 새로 생성 → 신청서 작성 → 심사위원 구성 → 논문 제출 → 심사 일정 → 평가 → 결과. status 기반 워크플로우: application_submitted → committee_assigned → thesis_submitted → exam_scheduled → under_evaluation → completed/failed","ThesisApplication: 전체 라이프사이클 관리 테이블. 재신청 시 새 레코드 생성 (isReapplication=true). status 필드로 진행 단계 추적. previousApplications 배열로 이전 신청 이력 참조","학생 화면: 재신청 진행 상황 화면 (5단계 시각화: 신청 → 위원구성 → 논문제출 → 심사 → 결과), 각 단계 완료 시 다음 단계 활성화. 관리자 화면: 재신청 건 목록 + 상태별 필터",P1,Phase 2
재신청 시 examRound 이슈,핵심 문제점,시스템,재신청 후 첫 심사의 examRound는 1인지 계속 증가하는지 불명확,이전 신청의 examRound를 이어받을지 리셋할지 불명확,"재신청은 새로운 신청이므로 examRound=1로 리셋. ThesisApplication이 다르면 ExaminationHistory의 examRound도 1부터 시작. getNextExamRound() 함수는 ThesisApplication 단위로 계산하지 않고 studentId + stageOrder만으로 계산 → 재신청 시 동일 stageOrder이므로 증가 가능 → 로직 수정 필요","ExaminationHistory: applicationId 필드 추가 (ThesisApplication 참조). getNextExamRound(studentId, stageOrder, applicationId): 해당 신청 건 내에서 최대 examRound + 1 반환. 재신청 시 새 applicationId이므로 examRound=1부터 시작",전체 시스템: getNextExamRound() 함수에 applicationId 파라미터 추가. ExaminationHistory 테이블에 applicationId 필드 추가,P1,Phase 2 (로직 수정)
학생 화면 재심 표시 이슈,핵심 문제점,학생,재심 진행 중임을 어떻게 알 수 있는지 불명확,진행 단계 다이어그램에 재심이 표시되지 않음,"currentStageOrder는 변경하지 않고 UI에서만 재심 상태 표시. getStudentExamStatus(studentId) 함수로 최신 ExaminationHistory 조회 → result='조건부합격' && reexamInfo.status='pending': '재심 대기' 표시, reexamInfo.status='submitted': '재심 평가 대기' 표시","getStudentExamStatus() 함수: studentId + currentStageOrder로 최신 ExaminationHistory 조회 → 상태 반환 { status: 'reexam_pending' | 'reexam_submitted' | 'passed' | 'failed', reexamInfo }","학생 화면: 진행 단계 다이어그램에서 현재 단계에 '⏳ 재심 진행 중' 배지 표시 + 재심 안내 영역 (재심 방식, 제출 기한, 보완 요구사항) 표시 + 수정논문 제출 버튼",P0,Phase 1
확장 가능성 - 4가지 조합,향후 확장,전체,4가지 재심 방식 조합으로 확장 필요 시,초기 구현은 2가지만 지원,데이터 구조는 이미 4가지 조합 지원. UI와 자동 설정 로직만 수정하면 확장 가능,"변경 사항: processEvaluationResult() 함수에서 evaluationType 자동 설정 로직 1줄 제거. UI에 evaluationType 선택 필드 추가 (라디오 버튼: 전체 심사위원 / 심사위원장만). 설명 문구 업데이트 (4가지 조합 설명). 데이터 마이그레이션 불필요 (필드는 이미 존재)",교수 화면: 재심 정보 설정 모달 - 재심 방식(대면/서면) + 평가자(전체/위원장만) 각각 선택. 조합 설명 추가,P3,Phase 3 (1일)
확인필요 - 재심 횟수 제한,확인 필요,학교,재심은 몇 회까지 허용되는지,현재 무제한 가능한 구조,학교 정책 확인 필요. 확인 후 로직 추가: processEvaluationResult() 함수에서 examRound 체크 → 최대 횟수 초과 시 조건부합격을 불합격으로 처리,"ThesisStage.stages[].maxReexamCount 필드 추가 (관리자 설정). processEvaluationResult() 함수: getNextExamRound() 결과가 maxReexamCount 초과하면 조건부합격을 불합격으로 자동 변환",관리자 화면: 워크플로우 관리 - 단계별 최대 재심 횟수 설정 (0=무제한),확인필요,학교 측 확인 후 결정
확인필요 - 재신청 횟수 제한,확인 필요,학교,같은 단계에서 재신청은 몇 회까지 허용되는지,현재 무제한 가능한 구조,학교 정책 확인 필요. 확인 후 로직 추가: processReapplication() 함수에서 이전 신청 횟수 체크 → 최대 횟수 초과 시 재신청 불가 처리,"ThesisApplication.previousApplications 배열 길이로 재신청 횟수 확인. ThesisStage.stages[].maxReapplicationCount 필드 추가. processReapplication() 함수: previousApplications.length >= maxReapplicationCount이면 재신청 불가 에러 반환",학생 화면: 재신청 버튼 클릭 시 재신청 횟수 초과인 경우 안내 메시지 표시,확인필요,학교 측 확인 후 결정
확인필요 - 지도교수 위임,확인 필요,교수,서면 재심 시 지도교수에게 위임 가능한지,한양대 메일에 언급: 심사위원장이 승인 또는 지도교수에게 위임하여 승인 가능,"학교 정책 확인 필요. 위임 가능한 경우: reexamInfo.delegatedTo 필드 추가 (교수 ID). 위임 시 canEvaluateReexam() 함수에서 delegatedTo 교수도 평가 가능하도록 수정","ExaminationHistory.reexamInfo.delegatedTo 필드 추가. canEvaluateReexam() 함수: evaluationType='chair_only'이고 delegatedTo가 있으면 delegatedTo 교수도 true 반환","교수 화면: 심사위원장 화면에 ""지도교수에게 위임"" 버튼 추가 → 지도교수 선택 → 위임 완료. 지도교수 화면: 위임받은 재심 건 표시 + 평가 버튼 활성화",확인필요,학교 측 확인 후 결정
확인필요 - 심사위원 변경,확인 필요,관리자,재심 시 심사위원을 변경할 수 있는지,재심은 기본적으로 동일 심사위원으로 진행,학교 정책 확인 필요. 변경 가능한 경우: ExaminationHistory에 심사위원 정보 저장 (ThesisApplication에서 복사하지 않고 독립적으로 관리). 재심 시 심사위원 변경 UI 제공,"ExaminationHistory: committeeChair, committeeMembers 필드 독립 관리 (각 심사마다 저장). 재심 시 이전 심사의 심사위원 정보를 기본값으로 불러오되 수정 가능하도록 UI 제공",관리자 화면: 재심 건 상세 → 심사위원 수정 버튼 → 심사위원 선택 → 저장,확인필요,학교 측 확인 후 결정
테스트 시나리오,단위 테스트,개발자,examRound 계산 테스트,getNextExamRound() 함수 정확성 검증,"테스트 케이스: 1) 이력 없음 → 1 반환, 2) 이력 1건(examRound=1) → 2 반환, 3) 이력 3건(examRound=1,2,3) → 4 반환, 4) 재신청(새 applicationId) → 1 반환",getNextExamRound() 함수 단위 테스트,Jest 또는 Mocha 테스트 코드 작성,P0,Phase 1
테스트 시나리오,단위 테스트,개발자,evaluationType 자동 설정 테스트,초기 구현의 자동 설정 로직 검증,"테스트 케이스: 1) method='대면' → evaluationType='full', 2) method='서면' → evaluationType='chair_only'",processEvaluationResult() 함수 단위 테스트,Jest 또는 Mocha 테스트 코드 작성,P0,Phase 1
테스트 시나리오,단위 테스트,개발자,재심 평가 권한 테스트,canEvaluateReexam() 함수 권한 로직 검증,"테스트 케이스: 1) examType='initial' → 모든 위원 true, 2) examType='reexam' && evaluationType='full' → 위원이면 true 아니면 false, 3) examType='reexam' && evaluationType='chair_only' → 위원장이면 true 아니면 false",canEvaluateReexam() 함수 단위 테스트,Jest 또는 Mocha 테스트 코드 작성,P1,Phase 2
테스트 시나리오,통합 테스트,개발자,석사 본심사 재심 전체 시나리오,조건부합격 → 재심 제출 → 재심 평가 → 합격 → 다음 단계 이동,"테스트 플로우: 1) 본심사 평가 API 호출(result='조건부합격') → ExaminationHistory 저장 확인 → currentStageOrder=4 유지 확인, 2) 재심 논문 제출 API 호출 → reexamInfo.status='submitted' 확인, 3) 재심 평가 API 호출(result='합격') → ExaminationHistory 생성 확인(examRound=2), 4) currentStageOrder=5 이동 확인","전체 API: 평가 결과 저장 API, 재심 논문 제출 API, 재심 평가 API, 단계 조회 API",Postman 또는 자동화 테스트 스크립트,P1,Phase 2
테스트 시나리오,통합 테스트,개발자,재신청 전체 시나리오,불합격 → 재신청 → 심사위원 구성 → 논문 제출 → 평가 → 합격,"테스트 플로우: 1) 본심사 불합격 API 호출 → ThesisApplication.status='failed', needsReapplication=true 확인, 2) 재신청 API 호출 → ThesisApplication 새 레코드 생성 확인(isReapplication=true), 3) 심사위원 구성 API 호출 → status='committee_assigned' 확인, 4) 논문 제출 API 호출 → status='thesis_submitted' 확인, 5) 심사 평가 API 호출(result='합격') → ExaminationHistory 생성(examRound=1) 확인, 6) currentStageOrder=5 이동 확인","전체 API: 평가 결과 저장 API, 재신청 API, 심사위원 구성 API, 논문 제출 API, 심사 평가 API",Postman 또는 자동화 테스트 스크립트,P1,Phase 2
테스트 시나리오,E2E 테스트,QA,학생 재심 진행 E2E,학생 관점에서 재심 전체 플로우 테스트,"테스트 플로우: 1) 학생 로그인 → 대시보드, 2) 조건부합격 알림 확인, 3) 진행 단계에서 '재심 진행 중' 배지 확인, 4) 재심 안내 영역에서 재심 정보 확인, 5) 수정논문 제출 버튼 클릭 → 파일 업로드 → 제출, 6) '재심 평가 대기' 상태로 변경 확인, 7) 재심 합격 알림 수신, 8) 진행 단계에서 최종논문으로 이동 확인",학생 화면 전체,Selenium 또는 Cypress E2E 테스트,P2,Phase 2
테스트 시나리오,E2E 테스트,QA,교수 재심 평가 E2E,교수 관점에서 재심 평가 전체 플로우 테스트,"테스트 플로우: 1) 교수 로그인 → 대시보드, 2) 본심사 평가 화면 → 조건부합격 선택, 3) 재심 정보 설정 모달 → 재심 방식/일정/요구사항 입력 → 제출, 4) 학생 재심 제출 알림 수신, 5) 재심 평가 화면 진입 → 권한 확인 (위원장만 접근), 6) 심사 이력 타임라인 확인, 7) 재심 평가 입력 → 합격 선택 → 제출, 8) 학생 단계 이동 확인",교수 화면 전체,Selenium 또는 Cypress E2E 테스트,P2,Phase 2
개발 계획,Phase 1 - Day 1,개발자,ExaminationHistory 테이블 생성 + CRUD,"테이블 스키마 설계, 마이그레이션 파일 작성, CRUD API 구현","테이블 필드: id, studentId, stageOrder, stageName, examRound, examType, committeeChair, committeeMembers, submissionDate, evaluationDate, semester, result, reexamInfo (JSON), applicationId. 인덱스: studentId+stageOrder 복합 인덱스","백엔드: 마이그레이션 파일 + ExaminationHistory 모델 + CRUD API (create, read, update, delete)",P0,0.5일
개발 계획,Phase 1 - Day 1,개발자,ThesisStage에 allowReexam 필드 추가,워크플로우 템플릿에 단계별 재심 허용 여부 설정,"ThesisStage.stages[] 각 단계에 allowReexam: boolean 필드 추가. 마이그레이션: 기존 데이터 allowReexam=false로 초기화","백엔드: 마이그레이션 파일 + ThesisStage 모델 수정, 관리자 화면: 워크플로우 관리 - 단계별 allowReexam 체크박스 추가",P1,0.5일
개발 계획,Phase 1 - Day 2-3,개발자,조건부합격 처리 로직 구현,processEvaluationResult() 함수 + getNextExamRound() 함수 구현,"processEvaluationResult() 함수: result에 따라 분기 (합격→단계이동, 조건부합격→ExaminationHistory 저장+재심정보저장, 불합격→canProceed=false). evaluationType 자동 설정 로직 포함. getNextExamRound() 함수: studentId+stageOrder+applicationId로 최대 examRound 조회 → +1 반환","백엔드: 평가 결과 저장 API 수정, ExaminationHistory CRUD 호출, StudentThesisStage 업데이트 로직, 알림 발송 로직",P0,1.5일
개발 계획,Phase 1 - Day 4,개발자,재심 차수 관리 로직 구현,getNextExamRound() 함수 + 심사 이력 조회 로직,"getNextExamRound(studentId, stageOrder, applicationId): ExaminationHistory 테이블 조회 (WHERE studentId=? AND stageOrder=? AND applicationId=?) → MAX(examRound) + 1 반환. getStudentExamStatus(studentId): 현재 단계의 최신 ExaminationHistory 조회 → 상태 반환","백엔드: getNextExamRound() 함수 + getStudentExamStatus() 함수, 단위 테스트 작성",P0,1일
개발 계획,Phase 1 - Day 5,개발자,학생 재심 상태 표시 UI 구현,학생 화면 재심 안내 영역 + 수정논문 제출 기능,"학생 대시보드: getStudentExamStatus() API 호출 → 상태에 따라 UI 표시. 재심 진행 중: '⏳ 재심 진행 중' 배지 + 재심 안내 영역 (재심 방식, 제출 기한, 보완 요구사항) + 수정논문 제출 버튼. 수정논문 제출: 파일 업로드 → API 호출 → reexamInfo.status='submitted' 업데이트","프론트엔드: 학생 대시보드 수정 (재심 안내 영역 컴포넌트 추가), 수정논문 제출 모달 + 파일 업로드 기능, 백엔드: 수정논문 제출 API",P0,1.5일
개발 계획,Phase 2 - Day 6,개발자,교수 재심 평가 화면 구현,심사 이력 타임라인 + 재심 평가 화면 + 평가 권한 제어,"교수 화면: 재심 평가 화면 진입 시 canEvaluateReexam() API 호출 → 권한 확인. 권한 있으면 평가 화면 표시 (심사 이력 타임라인 + 재심 평가 입력 폼), 권한 없으면 안내 메시지 표시. 심사 이력 타임라인: ExaminationHistory 목록 조회 → 시간순 표시 (1차 심사 → 재심 요구 → 재심 제출)","프론트엔드: 교수 재심 평가 화면 + 심사 이력 타임라인 컴포넌트, 백엔드: canEvaluateReexam() API + 심사 이력 조회 API",P1,1일
개발 계획,Phase 2 - Day 7,개발자,관리자 재심 통계 및 이력 조회,재심 진행 현황 + 재심 이력 조회,"관리자 화면: 재심 진행 현황 대시보드 (재심 대기/진행/완료 건수), 학생별 재심 이력 조회 (학생 상세 화면에서 ExaminationHistory 목록 표시). 필터: 학기, 단계, 재심 상태","프론트엔드: 관리자 재심 현황 대시보드 + 학생 상세 화면 (재심 이력 탭 추가), 백엔드: 재심 통계 API + 학생별 재심 이력 조회 API",P1,1일
개발 계획,Phase 2 - Day 8,개발자,ThesisApplication 테이블 생성 + 불합격 처리 로직,"ThesisApplication 테이블 스키마 설계, handleFailureForNextSemester() 함수 구현","ThesisApplication 테이블: id, studentId, stageOrder, semester, applicationDate, isReapplication, previousApplications, title, abstract, keywords, committeeChair, committeeMembers, committeeAssignedAt, thesisPdfUrl, attachments, submittedAt, examDate, examLocation, examScheduledAt, status, closedAt. handleFailureForNextSemester() 함수: ExaminationHistory 저장 → ThesisApplication.status='failed' → StudentThesisStage 업데이트 (needsReapplication=true) → 알림 발송","백엔드: ThesisApplication 테이블 마이그레이션 + 모델 + CRUD API, handleFailureForNextSemester() 함수",P1,0.5일
